ZipCode,City,StateCode
60560,YORKVILLE,IL
60598,AURORA,IL
60599,FOX VALLEY,IL
60601,CHICAGO,IL
60602,CHICAGO,IL
60603,CHICAGO,IL
60604,CHICAGO,IL
60605,CHICAGO,IL
60606,CHICAGO,IL
60607,CHICAGO,IL
60608,CHICAGO,IL
60609,CHICAGO,IL
60610,CHICAGO,IL
60501,SUMMIT ARGO,IL
60502,AURORA,IL
60503,AURORA,IL
60504,AURORA,IL
60505,AURORA,IL
60506,AURORA,IL
60507,AURORA,IL
60510,BATAVIA,IL
60511,BIG ROCK,IL
60512,BRISTOL,IL
60513,BROOKFIELD,IL
60522,HINSDALE,IL
60523,OAK BROOK,IL
60525,LA GRANGE,IL
60538,MONTGOMERY,IL
60539,MOOSEHEART,IL
60540,NAPERVILLE,IL
60541,NEWARK,IL
60542,NORTH AURORA,IL
60543,OSWEGO,IL
60544,PLAINFIELD,IL
60545,PLANO,IL
60546,RIVERSIDE,IL
60561,DARIEN,IL
60563,NAPERVILLE,IL
60564,NAPERVILLE,IL
60565,NAPERVILLE,IL
60566,NAPERVILLE,IL
60567,NAPERVILLE,IL
60568,AURORA,IL
60572,AURORA,IL
60585,PLAINFIELD,IL
60586,PLAINFIELD,IL
60611,CHICAGO,IL
60612,CHICAGO,IL
60613,CHICAGO,IL
60614,CHICAGO,IL
60615,CHICAGO,IL
60616,CHICAGO,IL
60617,CHICAGO,IL
60618,CHICAGO,IL
60629,CHICAGO,IL
60630,CHICAGO,IL
60631,CHICAGO,IL
60632,CHICAGO,IL
60633,CHICAGO,IL
60634,CHICAGO,IL
60644,CHICAGO,IL
60645,CHICAGO,IL
60646,CHICAGO,IL
60647,CHICAGO,IL
60649,CHICAGO,IL
60651,CHICAGO,IL
60652,CHICAGO,IL
60653,CHICAGO,IL
60654,CHICAGO,IL
60655,CHICAGO,IL
60656,CHICAGO,IL
60657,CHICAGO,IL
60659,CHICAGO,IL
60660,CHICAGO,IL
60661,CHICAGO,IL
60664,CHICAGO,IL
60666,CHICAGO,IL
60619,CHICAGO,IL
60620,CHICAGO,IL
60621,CHICAGO,IL
60622,CHICAGO,IL
60623,CHICAGO,IL
60624,CHICAGO,IL
60625,CHICAGO,IL
60626,CHICAGO,IL
60628,CHICAGO,IL
60636,CHICAGO,IL
60637,CHICAGO,IL
60638,CHICAGO,IL
60639,CHICAGO,IL
60640,CHICAGO,IL
60641,CHICAGO,IL
60642,CHICAGO,IL
60643,CHICAGO,IL
60668,CHICAGO,IL
60669,CHICAGO,IL
60670,CHICAGO,IL
60673,CHICAGO,IL
60674,CHICAGO,IL
60675,CHICAGO,IL
60677,CHICAGO,IL
60678,CHICAGO,IL
60690,CHICAGO,IL
60691,CHICAGO,IL
60693,CHICAGO,IL
60694,CHICAGO,IL
60695,CHICAGO,IL
60696,CHICAGO,IL
60697,CHICAGO,IL
60699,CHICAGO,IL
60701,CHICAGO,IL
60706,HARWOOD HEIGHTS,IL
60805,EVERGREEN PARK,IL
60827,RIVERDALE,IL
60901,KANKAKEE,IL
60910,AROMA PARK,IL
60911,ASHKUM,IL
60912,BEAVERVILLE,IL
60913,BONFIELD,IL
60914,BOURBONNAIS,IL
60915,BRADLEY,IL
60917,BUCKINGHAM,IL
60918,BUCKLEY,IL
60919,CABERY,IL
60920,CAMPUS,IL
60921,CHATSWORTH,IL
60922,CHEBANSE,IL
60924,CISSNA PARK,IL
60926,CLAYTONVILLE,IL
60927,CLIFTON,IL
60928,CRESCENT CITY,IL
60929,CULLOM,IL
60930,DANFORTH,IL
60931,DONOVAN,IL
60932,EAST LYNN,IL
60933,ELLIOTT,IL
60934,EMINGTON,IL
60935,ESSEX,IL
60936,GIBSON CITY,IL
60938,GILMAN,IL
60939,GOODWINE,IL
60959,PIPER CITY,IL
60960,RANKIN,IL
60961,REDDICK,IL
60962,ROBERTS,IL
60963,ROSSVILLE,IL
60964,SAINT ANNE,IL
60966,SHELDON,IL
60967,STOCKLAND,IL
60968,THAWVILLE,IL
60969,UNION HILL,IL
60970,WATSEKA,IL
60973,WELLINGTON,IL
60974,WOODLAND,IL
61020,DAVIS JUNCTION,IL
61021,DIXON,IL
61024,DURAND,IL
61025,EAST DUBUQUE,IL
61027,ELEROY,IL
61028,ELIZABETH,IL
61030,FORRESTON,IL
61031,FRANKLIN GROVE,IL
60680,CHICAGO,IL
60681,CHICAGO,IL
60682,CHICAGO,IL
60684,CHICAGO,IL
60685,CHICAGO,IL
60686,CHICAGO,IL
60687,CHICAGO,IL
60688,CHICAGO,IL
60689,CHICAGO,IL
60707,ELMWOOD PARK,IL
60712,LINCOLNWOOD,IL
60714,NILES,IL
60803,ALSIP,IL
60804,CICERO,IL
60940,GRANT PARK,IL
60941,HERSCHER,IL
60942,HOOPESTON,IL
60944,HOPKINS PARK,IL
60945,IROQUOIS,IL
60946,KEMPTON,IL
60948,LODA,IL
60949,LUDLOW,IL
60950,MANTENO,IL
60951,MARTINTON,IL
60952,MELVIN,IL
60953,MILFORD,IL
60954,MOMENCE,IL
60955,ONARGA,IL
60956,PAPINEAU,IL
60957,PAXTON,IL
60958,PEMBROKE TOWNSHIP,IL
61001,APPLE RIVER,IL
61006,ASHTON,IL
61007,BAILEYVILLE,IL
61008,BELVIDERE,IL
61010,BYRON,IL
61011,CALEDONIA,IL
61012,CAPRON,IL
61013,CEDARVILLE,IL
61014,CHADWICK,IL
61015,CHANA,IL
61016,CHERRY VALLEY,IL
61018,DAKOTA,IL
61019,DAVIS,IL
61032,FREEPORT,IL
61036,GALENA,IL
61037,GALT,IL
61038,GARDEN PRAIRIE,IL
61039,GERMAN VALLEY,IL
61041,HANOVER,IL
61042,HARMON,IL
61043,HOLCOMB,IL
61044,KENT,IL
61046,LANARK,IL
61047,LEAF RIVER,IL
61048,LENA,IL
61049,LINDENWOOD,IL
61050,MC CONNELL,IL
61051,MILLEDGEVILLE,IL
61052,MONROE CENTER,IL
61053,MOUNT CARROLL,IL
61054,MOUNT MORRIS,IL
61057,NACHUSA,IL
61059,NORA,IL
61060,ORANGEVILLE,IL
61061,OREGON,IL
61062,PEARL CITY,IL
61071,ROCK FALLS,IL
